t_ms,rate_hz
0.0,0.0
0.1,10.4
0.2,12.8
0.30000000000000004,11.2
0.4,14.4
0.5,8.8
0.6000000000000001,6.4
0.7,4.8
0.8,5.6
0.9,7.2
1.0,9.6
1.1,8.8
1.2000000000000002,6.4
1.3,2.4
1.4,2.4
1.5,8.0
1.6,4.0
1.7000000000000002,16.0
1.8,18.4
1.9,13.6
2.0,24.0
2.1,18.4
2.2,16.8
2.3,15.2
2.4000000000000004,8.8
2.5,10.4
2.6,12.0
2.7,12.8
2.8,13.6
2.9000000000000004,5.6
3.0,6.4
3.1,11.2
3.2,3.2
3.3,21.6
3.4000000000000004,20.0
3.5,28.8
3.6,58.4
3.7,62.4
3.8,70.4
3.9000000000000004,44.8
4.0,19.2
4.1000000000000005,32.0
4.2,15.2
4.3,20.8
4.4,21.6
4.5,20.0
4.6,12.0
4.7,18.4
4.800000000000001,8.8
4.8999999999999995,23.2
5.0,30.4
5.1000000000000005,53.6
5.2,86.4
5.3,122.4
5.4,188.8
5.5,84.0
5.6,33.6
5.7,27.2
5.800000000000001,10.4
5.8999999999999995,22.4
6.0,9.6
6.1000000000000005,8.8
6.2,16.8
6.3,27.2
6.4,12.0
6.5,26.4
6.6,22.4
6.7,46.4
6.800000000000001,52.0
6.9,60.0
7.0,49.6
7.1000000000000005,28.8
7.2,6.4
7.3,14.4
7.4,8.8
7.5,9.6
7.6,3.2
7.7,4.0
7.800000000000001,7.2
7.9,4.0
8.0,2.4
8.1,4.0
8.200000000000001,8.0
8.3,3.2
8.4,12.8
8.5,28.8
8.6,12.0
8.700000000000001,16.8
8.8,2.4
8.9,6.4
9.0,4.0
9.1,4.8
9.2,4.8
9.3,1.6
9.4,4.0
9.5,1.6
9.600000000000001,0.8
9.7,1.6
9.799999999999999,4.0
9.9,0.8
10.0,4.0
10.100000000000001,0.8
10.200000000000001,3.2
10.3,6.4
10.4,0.0
10.5,3.2
10.6,1.6
10.700000000000001,2.4
10.8,3.2
10.9,1.6
11.0,3.2
11.1,2.4
11.2,0.8
11.3,3.2
11.4,1.6
11.5,4.8
11.600000000000001,2.4
11.7,0.8
11.799999999999999,2.4
11.9,3.2
12.0,2.4
12.100000000000001,0.8
12.200000000000001,1.6
12.3,0.0
12.4,3.2
12.5,2.4
12.6,2.4
12.700000000000001,0.8
12.8,0.0
12.9,0.0
13.0,0.0
13.1,2.4
13.2,2.4
13.3,0.8
13.4,3.2
13.5,0.0
13.600000000000001,3.2
13.7,0.8
13.8,0.8
13.9,0.8
14.0,1.6
14.100000000000001,2.4
14.200000000000001,1.6
14.3,3.2
14.4,0.0
14.5,0.0
14.6,1.6
14.700000000000001,1.6
14.8,0.8
14.9,0.8
15.0,0.8
15.1,0.0
15.2,1.6
15.3,0.8
15.4,0.0
15.5,0.0
15.600000000000001,1.6
15.700000000000001,0.0
15.8,0.0
15.9,0.8
16.0,0.8
16.099999999999998,0.8
16.2,0.0
16.3,0.8
16.400000000000002,0.8
16.5,0.8
16.6,0.8
16.7,0.8
16.8,0.0
16.900000000000002,0.0
17.0,0.0
17.1,0.0
17.2,0.0
17.3,0.0
17.400000000000002,0.0
17.5,0.0
17.6,0.0
17.7,1.6
17.8,0.8
17.9,0.0
18.0,0.0
18.1,0.0
18.2,0.0
18.3,0.0
18.4,0.0
18.500000000000004,0.0
18.6,0.8
18.7,0.0
18.8,0.0
18.9,0.8
19.0,0.0
19.1,0.8
19.200000000000003,1.6
19.3,0.8
19.4,0.0
19.5,0.0
19.599999999999998,0.0
19.700000000000003,1.6
19.8,0.0
19.900000000000002,0.0
20.0,0.0
20.099999999999998,0.0
20.200000000000003,1.6
20.3,0.8
20.400000000000002,0.8
20.5,0.0
20.6,0.0
20.7,0.0
20.8,0.8
20.900000000000002,0.8
21.0,0.0
21.1,1.6
21.2,0.0
21.3,0.0
21.400000000000002,0.0
21.5,0.0
21.6,0.0
21.7,0.8
21.8,0.8
21.9,0.8
22.0,0.0
22.1,0.0
22.2,0.0
22.3,0.0
22.4,0.8
22.500000000000004,0.0
22.6,0.0
22.7,0.0
22.8,0.0
22.9,0.8
23.0,0.8
23.1,0.8
23.200000000000003,0.8
23.3,0.0
23.4,0.8
23.5,0.0
23.599999999999998,0.8
23.700000000000003,0.8
23.8,0.0
23.900000000000002,1.6
24.0,0.0
24.099999999999998,1.6
24.200000000000003,0.0
24.3,3.2
24.400000000000002,0.8
24.5,0.0
24.6,0.0
24.7,2.4
24.8,0.0
24.900000000000002,0.0
25.0,0.0
25.1,0.0
25.2,0.0
25.3,0.8
25.400000000000002,1.6
25.5,0.8
25.6,0.0
25.7,0.0
25.8,0.8
25.900000000000002,0.0
26.0,2.4
26.1,0.8
26.2,0.0
26.3,0.8
26.4,0.0
26.500000000000004,0.0
26.6,2.4
26.7,0.8
26.8,0.8
26.9,0.0
27.0,0.0
27.1,1.6
27.200000000000003,0.0
27.3,1.6
27.4,0.8
27.5,2.4
27.6,0.8
27.700000000000003,0.0
27.8,0.0
27.900000000000002,1.6
28.0,0.0
28.099999999999998,0.8
